"Qualifying Name","Name of Area","FIPS","Nation","Metropolitan Statistical Area","County/County Subdivision","Total Population 2017","Median Family Income (5-year ACS)","Low Income Limits (Up to 80% of Local Area Median Income) for One Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Two Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Three Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Four Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Five Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Six Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Seven Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Eight Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for One Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Two Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Three Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Four Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Five Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Six Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Seven Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Eight Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for One Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Two Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Three Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Four Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Five Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Six Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Seven Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Eight Person Families","Fair Market Rent for Efficiency","Fair Market Rent for One Bedroom","Fair Market Rent for Two Bedrooms","Fair Market Rent for Three Bedrooms","Fair Market Rent for Four Bedrooms","FY 2020 Fair Market Rent (Two-Bedrooms)","FY 2019 Fair Market Rent (Two-Bedrooms)","Fair Market Rent (Two-Bedrooms) Percent Change between 2019 and 2020","Fair Market Rent (Two-Bedrooms) Dollar Change between 2019 and 2020"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_MSA,Geo_CCS,SE_T001_001,SE_T002_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T003_004,SE_T003_005,SE_T003_006,SE_T003_007,SE_T003_008,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T007_001,SE_T007_002,SE_T008_001,SE_T008_002
"Castine town, Maine","Castine town","2300911265","00",,"00911265",1275,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Central Hancock UT, Maine","Central Hancock UT","2300911800","00",,"00911800",135,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Cranberry Isles town, Maine","Cranberry Isles town","2300914905","00",,"00914905",145,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Dedham town, Maine","Dedham town","2300916935","00",,"00916935",1620,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Deer Isle town, Maine","Deer Isle town","2300917145","00",,"00917145",2070,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Eastbrook town, Maine","Eastbrook town","2300919770","00",,"00919770",380,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"East Hancock UT, Maine","East Hancock UT","2300920405","00",,"00920405",45,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Ellsworth city, Maine","Ellsworth city","2300923200","00",,"00923200",7915,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Franklin town, Maine","Franklin town","2300926350","00",,"00926350",1450,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Frenchboro town, Maine","Frenchboro town","2300926595","00",,"00926595",45,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Gouldsboro town, Maine","Gouldsboro town","2300928450","00",,"00928450",1605,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Great Pond town, Maine","Great Pond town","2300928975","00",,"00928975",80,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Hancock town, Maine","Hancock town","2300930970","00",,"00930970",2350,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Lamoine town, Maine","Lamoine town","2300938180","00",,"00938180",1620,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Mariaville town, Maine","Mariaville town","2300943430","00",,"00943430",575,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Marshall Island UT, Maine","Marshall Island UT","2300943578","00",,"00943578",0,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Mount Desert town, Maine","Mount Desert town","2300947630","00",,"00947630",1840,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Northwest Hancock UT, Maine","Northwest Hancock UT","2300953620","00",,"00953620",4,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Orland town, Maine","Orland town","2300955505","00",,"00955505",2150,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Osborn town, Maine","Osborn town","2300955855","00",,"00955855",75,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Otis town, Maine","Otis town","2300955890","00",,"00955890",780,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Penobscot town, Maine","Penobscot town","2300957920","00",,"00957920",1215,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Sedgwick town, Maine","Sedgwick town","2300967300","00",,"00967300",1180,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Sorrento town, Maine","Sorrento town","2300969750","00",,"00969750",370,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Southwest Harbor town, Maine","Southwest Harbor town","2300972865","00",,"00972865",1685,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Stonington town, Maine","Stonington town","2300974580","00",,"00974580",1140,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Sullivan town, Maine","Sullivan town","2300974965","00",,"00974965",1065,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Surry town, Maine","Surry town","2300975280","00",,"00975280",1605,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Swans Island town, Maine","Swans Island town","2300975455","00",,"00975455",490,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Tremont town, Maine","Tremont town","2300977345","00",,"00977345",1400,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Trenton town, Maine","Trenton town","2300977415","00",,"00977415",1775,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Verona Island town, Maine","Verona Island town","2300978925","00",,"00978925",525,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Waltham town, Maine","Waltham town","2300980040","00",,"00980040",320,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Winter Harbor town, Maine","Winter Harbor town","2300986655","00",,"00986655",455,70300,39400,45000,50650,56250,60750,65250,69750,74250,24650,28150,31650,35150,38000,40800,43600,46400,14800,17240,21720,26200,30680,35160,39640,44120,726,759,894,1133,1230,894,931,-3.9742,-37
"Albion town, Maine","Albion town","2301100590","00",,"01100590",1975,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Augusta city, Maine","Augusta city","2301102100","00",,"01102100",18625,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Belgrade town, Maine","Belgrade town","2301104020","00",,"01104020",3150,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Benton town, Maine","Benton town","2301104475","00",,"01104475",2690,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Chelsea town, Maine","Chelsea town","2301112350","00",,"01112350",2705,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"China town, Maine","China town","2301112735","00",,"01112735",4265,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Clinton town, Maine","Clinton town","2301113470","00",,"01113470",3375,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Farmingdale town, Maine","Farmingdale town","2301124670","00",,"01124670",2910,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Fayette town, Maine","Fayette town","2301124950","00",,"01124950",1045,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Gardiner city, Maine","Gardiner city","2301127085","00",,"01127085",5670,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Hallowell city, Maine","Hallowell city","2301130550","00",,"01130550",2455,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Litchfield town, Maine","Litchfield town","2301140175","00",,"01140175",3610,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Manchester town, Maine","Manchester town","2301143080","00",,"01143080",2555,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Monmouth town, Maine","Monmouth town","2301146405","00",,"01146405",4085,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Mount Vernon town, Maine","Mount Vernon town","2301147770","00",,"01147770",1585,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Oakland town, Maine","Oakland town","2301154560","00",,"01154560",6220,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Pittston town, Maine","Pittston town","2301159110","00",,"01159110",2630,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Randolph town, Maine","Randolph town","2301161700","00",,"01161700",2010,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Readfield town, Maine","Readfield town","2301162190","00",,"01162190",2555,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Rome town, Maine","Rome town","2301163835","00",,"01163835",1060,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Sidney town, Maine","Sidney town","2301168385","00",,"01168385",4275,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Unity UT, Maine","Unity UT","2301178190","00",,"01178190",40,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Vassalboro town, Maine","Vassalboro town","2301178745","00",,"01178745",4330,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Vienna town, Maine","Vienna town","2301179025","00",,"01179025",450,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Waterville city, Maine","Waterville city","2301180740","00",,"01180740",16375,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Wayne town, Maine","Wayne town","2301180880","00",,"01180880",1090,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"West Gardiner town, Maine","West Gardiner town","2301182945","00",,"01182945",3380,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Windsor town, Maine","Windsor town","2301186165","00",,"01186165",2560,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Winslow town, Maine","Winslow town","2301186515","00",,"01186515",7610,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Winthrop town, Maine","Winthrop town","2301186970","00",,"01186970",6005,77700,42250,48250,54300,60300,65150,69950,74800,79600,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,21720,26200,30680,35160,39640,44120,642,650,799,1042,1101,799,848,-5.7783,-49
"Appleton town, Maine","Appleton town","2301301465","00",,"01301465",1360,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Camden town, Maine","Camden town","2301309725","00",,"01309725",4835,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Criehaven UT, Maine","Criehaven UT","2301315125","00",,"01315125",0,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Cushing town, Maine","Cushing town","2301315780","00",,"01315780",1475,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Friendship town, Maine","Friendship town","2301326805","00",,"01326805",1035,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Hope town, Maine","Hope town","2301333840","00",,"01333840",1520,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Isle au Haut town, Maine","Isle au Haut town","2301335135","00",,"01335135",25,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Matinicus Isle plantation, Maine","Matinicus Isle plantation","2301344165","00",,"01344165",80,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Muscle Ridge Island UT, Maine","Muscle Ridge Island UT","2301347962","00",,"01347962",10,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"North Haven town, Maine","North Haven town","2301351620","00",,"01351620",540,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Owls Head town, Maine","Owls Head town","2301356135","00",,"01356135",1560,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Rockland city, Maine","Rockland city","2301363590","00",,"01363590",7205,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Rockport town, Maine","Rockport town","2301363660","00",,"01363660",3355,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"St. George town, Maine","St. George town","2301365130","00",,"01365130",2585,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"South Thomaston town, Maine","South Thomaston town","2301372585","00",,"01372585",1455,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Thomaston town, Maine","Thomaston town","2301376365","00",,"01376365",2765,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Union town, Maine","Union town","2301378115","00",,"01378115",2505,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Vinalhaven town, Maine","Vinalhaven town","2301379130","00",,"01379130",1170,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Warren town, Maine","Warren town","2301380215","00",,"01380215",4705,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Washington town, Maine","Washington town","2301380425","00",,"01380425",1515,68200,38200,43650,49100,54550,58950,63300,67650,72050,23900,27300,30700,34100,36850,39600,42300,45050,14350,17240,21720,26200,30680,35160,39640,44120,676,706,842,1174,1242,842,918,-8.2788671,-76
"Alna town, Maine","Alna town","2301501010","00",,"01501010",775,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Boothbay town, Maine","Boothbay town","2301506050","00",,"01506050",3105,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Boothbay Harbor town, Maine","Boothbay Harbor town","2301506120","00",,"01506120",1985,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Bremen town, Maine","Bremen town","2301506855","00",,"01506855",820,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Bristol town, Maine","Bristol town","2301507485","00",,"01507485",2730,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Damariscotta town, Maine","Damariscotta town","2301516235","00",,"01516235",2015,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Dresden town, Maine","Dresden town","2301518475","00",,"01518475",1790,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Edgecomb town, Maine","Edgecomb town","2301522675","00",,"01522675",1080,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
"Hibberts gore, Maine","Hibberts gore","2301532715","00",,"01532715",0,73600,41250,47150,53050,58900,63650,68350,73050,77750,25800,29450,33150,36800,39750,42700,45650,48600,15500,17700,21720,26200,30680,35160,39640,44120,698,711,874,1089,1349,874,944,-7.4152542,-70
