"Qualifying Name","Name of Area","FIPS","Nation","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over)","Percent of Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent of Persons Without Insurance (Population Under 19 Years, 2013 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2013 est.)","Persons Without Insurance (Population Under 19 Years, 2013 est.)","Persons Without Insurance (Population Under 65 Years, 2013 est.)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 100,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Infant Mortality (Death Counts)","Infant Mortality Rate per 1,000 Live Births","Percent Diabetics (Adults)","Diabetics","Chlamydia Cases (Count)","HIV Prevalence (Count)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population","Percent Current Smokers (Persons 18 Years and Over)","Percent Drinking Adults (Persons 18 Years and Over)","Percent of Persons with Limited Access to Healthy Foods","Percent of Persons with Access to Exercise Opportunities","Percent Obese Persons (20 Years and Over)","Percent Percent Physically Inactive Persons (20 Years and Over)","Percent of Children Eligible for Free Lunch (Persons < 18 Years)","Food Environment Index","Air Pollution Particulate Matter Average Daily Pm2.5","Presence of Drinking Water Violations","Percentage of Households with Severe Housing Problems","Percentage of Households with High Housing Costs","Percentage of Households with Overcrowding","Percentage of Households with Lack of Kitchen or Plumbing Facilities","Percent of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T006_001,SE_T006_003,SE_NV005_001,SE_NV005_003,SE_T008_002,SE_T008_003,SE_T008_004,SE_NV006_002,SE_NV006_003,SE_NV006_004,SE_T014_001,SE_NV009_001,SE_T009_001,SE_NV007_001,SE_T010_002,SE_T010_003,SE_NV008_002,SE_NV008_003,SE_T011_001,SE_T011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga County","01001","00","01","001",3.4322111963,4.7973512632,16.9,9.7381519152,25,21,19,44.52756,35.536,32.15162,3.8432780021,13.158831909,514,4434,27,836,14,51.496252217,427.07332591,8.3524744205,30,6.8775790922,10.6,"",315,114,563.8,242.5,18.3,16.656260168,13.020997971,55.537794405,37.3,26.4,41.250697934,6.6,10,"No",14.442626782,12.635805385,1.12175742,1.6358962374,86.401088518,26458,41.6
"Baldwin County, Alabama","Baldwin County","01003","00","01","003",3.2761769521,4.7537497106,14.9,8.3857311835,150,250,114,65.42019,104.47399,47.64014,3.7613514692,13.608835329,1897,17707,97,3377,118,51.169783452,381.70203137,17.5976783,84,5.2730696798,9.7,"",786,344,352.1,176.1,16.9,18.965166014,7.936779358,65.735846777,32.6,23.2,46.373985785,7.5,7.6,"Yes",12.238971951,10.561056106,1.2912393426,0.642530582,81.40185095,102650,37.6
"Barbour County, Alabama","Barbour County","01005","00","01","005",4.6054318631,4.9548545646,27.5,11.914672216,8,6,8,32.53487,24.03461,32.04615,3.7324087293,18.658064516,183,2169,17,539,,82.704937971,589.56609455,,,,15.6,"",155,96,627.9,456.5,25.9,13.428772645,10.433171672,54.842802204,46.4,35.7,58.692902319,5.8,9.4,"Yes",16.21187801,13.464345873,3.8523274478,0.5885500268,83.122562345,8461,36.5
"Bibb County, Alabama","Bibb County","01007","00","01","007",4.0121820779,5.364779234,21.6,10.033076075,14,9,6,63.24539,40.04093,26.69395,3.8878842676,16.258183649,172,1937,15,460,16,82.232333754,567.50814595,23.905572987,,,12.2,"",123,41,549.3,215.9,22.8,15.916283885,0.4458662133,18.211994797,38.4,31.6,48.219441771,7.4,9.8,"No",11.320754717,7.9853479853,1.1611030479,2.2496371553,86.965223918,7994,55.1
"Blount County, Alabama","Blount County","01009","00","01","009",3.8660480758,5.377579831,18.4,7.8598889364,12,12,10,20.73291,20.32486,16.93738,4.466062348,16.737313433,606,5607,38,1143,31,71.173044146,532.83648174,17.862802155,31,6.7215958369,10.9,"",168,37,290.5,76.2,21.8,16.310688072,2.5122060181,41.353536037,32.7,28.5,50.816104461,7.8,9.6,"No",9.8824658191,7.3806006893,1.7989925642,1.2712880787,86.420269253,23918,59.5
"Bullock County, Alabama","Bullock County","01011","00","01","011",4.6975575527,5.1402063643,29.7,15.062287656,3,2,2,30.07217,19.37984,19.37984,2.8542303772,16.389762012,56,730,,203,,,556.11029653,,,,18.1,"",79,54,782.1,638.3,25.5,12.772702652,32.339190387,2.78072801,48.3,39.6,76.290097629,4.3,9.3,"No",12.926136364,12.785388128,0,0.9943181818,83.865814696,3756,49.4
"Butler County, Alabama","Butler County","01013","00","01","013",4.1852847641,5.217472194,22.7,12.82853567,4,16,7,20.50861,84.72781,37.06842,3.7423022264,17.175109618,158,1841,14,441,,80.178683924,606.51274825,,,,13.8,"",154,56,791.9,340.4,22.3,13.747720702,6.9182869438,45.005511522,45.4,32.3,78.540047313,6.8,9.1,"No",11.683320523,9.4514106583,1.5372790161,1.1529592621,86.591730229,7473,34.7
"Calhoun County, Alabama","Calhoun County","01015","00","01","015",3.8225684765,4.8968874674,19.6,9.4372108038,68,173,76,59.92826,149.17394,65.53306,3.1747977445,16.461833525,777,10729,57,2476,66,57.897409853,587.11909177,19.334936766,71,7.9311885612,12.3,"",511,245,449.8,254.5,21,16.188242557,15.398072995,64.796764026,37.4,28.1,56.719844587,6,9.7,"No",11.893285506,9.8384895359,1.6814258491,0.7734558906,84.928259256,48508,30
"Chambers County, Alabama","Chambers County","01017","00","01","017",4.0730385287,5.5068837107,21.5,12.653061224,14,3,7,42.59851,8.68533,20.26577,3.9728096677,16.33997344,263,3076,24,686,10,86.399308806,530.58104964,10.026670945,24,9.0634441088,13.2,"",160,110,481.1,392.6,21.7,15.074983183,8.1029884513,49.930978949,41.2,32.2,71.737132353,6.9,9.8,"No",16.505576208,10.871872631,5.2788104089,1.5241635688,86.978711974,14891,28.1
"Cherokee County, Alabama","Cherokee County","01019","00","01","019",3.8844282821,5.4912320456,19.3,8.2923832924,10,6,4,38.03149,24.00384,16.00256,4.0632506005,15.680751174,203,2338,13,600,14,65.343051018,543.28650871,17.82939813,,,11,"",70,32,267.2,139.6,22.7,17.577823488,5.0086522515,38.224340235,41.3,28.6,55.465692669,7.4,9.5,"No",9.268747089,7.779886148,1.3507219376,0.6520726595,84.820779221,9625,45.6
"Chilton County, Alabama","Chilton County","01021","00","01","021",3.9374030768,5.467833052,20.4,9.0440608091,10,33,13,22.52404,72.88952,28.71405,4.8288795124,19.480570049,515,5003,19,848,24,45.072828201,527.17886969,18.048098182,22,5.838641189,11.4,"",138,60,310.6,162.3,22.1,16.372138399,4.3695515107,32.789798729,37.5,30.8,50.863075925,7.1,9.9,"No",14.534711965,11.185830081,2.9837518464,0.5612998523,83.114735401,17536,50.8
"Choctaw County, Alabama","Choctaw County","01023","00","01","023",4.1594929659,5.412244649,22.5,11.523046092,5,1,6,40.26413,7.97894,47.87361,4.5695634435,15.488413024,112,1056,,272,,,540.41966361,,,,13.7,"",45,28,357.5,261.6,22,14.781538286,13.044275445,25.163837347,41.4,30.7,75.222024867,6.1,9.3,"No",10.188679245,7.3938223938,0.8490566038,2.1698113208,82.910819375,4418,48.1
"Clarke County, Alabama","Clarke County","01025","00","01","025",4.2839182507,5.218011335,24,13.136863137,11,21,8,47.22854,92.26714,35.14938,4.2686627554,17.110906863,211,2234,22,536,10,107.56894191,623.84798861,14.117713495,,,14.2,"",148,35,626.5,176.5,23.3,13.241220452,18.350343549,52.986529216,40.6,32,68.355555556,5.1,9.5,"Yes",12.321232123,10.844817256,1.595159516,1.1551155116,89.686900958,7825,35.2
"Clay County, Alabama","Clay County","01027","00","01","027",4.1343276244,5.4763985377,20.7,8.2433758587,4,2,2,30.50641,14.09443,14.09443,5.3517964072,17.489986649,143,1310,,285,,,573.05315643,,,,11.8,"",53,20,400.5,178.6,23.3,15.812200846,2.9746178357,64.393087946,38.6,30.8,61.529933481,7.5,7.6,"No",8.2692307692,6.4453125,0.9423076923,1.1346153846,85.130597015,5360,40.7
"Cleburne County, Alabama","Cleburne County","01029","00","01","029",4.0108240311,5.4091193355,19.3,7.8414839798,4,8,,26.72546,52.96961,,4.8920863309,16.974609608,170,1424,11,301,,80.811049074,522.06781873,,,,10.8,"",29,14,194.5,111.8,22.1,16.911502443,2.0248519297,42.4282678,38.3,28.7,48.446215139,7.3,9.4,"No",9.3309859155,7.3862622658,0.8450704225,1.7605633803,84.533898305,5664,55.8
"Coffee County, Alabama","Coffee County","01031","00","01","031",3.8898574428,5.4303980667,19.1,8.6677011749,25,50,19,46.966,92.2952,35.07217,5.0715521308,17.148306181,645,5305,24,895,14,48.527003255,474.95623173,8.8899613287,23,5.4041353383,11.5,"",261,78,498.6,175.8,19.6,15.250751368,8.9918950021,48.802020013,43.6,30.2,46.718893072,6.9,9.1,"No",9.661229611,7.9043743642,1.756587202,0.3513174404,86.035676251,22536,30.8
"Colbert County, Alabama","Colbert County","01033","00","01","033",3.7639420427,5.3530823592,18.6,10.546697039,35,30,28,63.16435,52.19752,48.71768,3.4809057114,12.954771991,412,4159,27,1138,20,58.725014681,538.37846367,12.090875017,39,9.270263846,11.1,"",330,65,597.4,138.1,20.8,15.630390397,8.8293033096,64.9850595,37,29.1,51.604345629,6.7,8.1,"Yes",10.808957952,9.7153436704,0.5941499086,0.7084095064,86.095083299,24610,24.5
"Conecuh County, Alabama","Conecuh County","01035","00","01","035",4.3054354682,5.6081372347,24.2,13.870967742,5,6,2,42.19053,52.9661,17.65537,3.2230703986,14.229989078,76,912,,335,,,697.57338429,,,,14.8,"",58,32,480.6,316.4,23.9,13.687652748,13.288972735,37.406225748,42.8,35,72.151898734,6.2,9.2,"No",8.3424807903,6.9735327963,0.5268935236,1.2074643249,86.503824328,4053,41.1
"Coosa County, Alabama","Coosa County","01037","00","01","037",3.8812822867,5.3928581083,20.4,14.516129032,,2,,,19.13876,,4.4819557625,13.706853427,77,822,11,253,,156.73981191,573.87168843,,,,12.3,"",69,21,647.1,222.8,21.7,16.168951519,7.7172192361,4.5345142967,41.5,30,63.706563707,7.2,9.6,"No",11.41439206,8.6142322097,2.729528536,0.7444168734,77.917282127,4062,37.3
"Covington County, Alabama","Covington County","01039","00","01","039",3.9997655599,5.4980911686,19.7,10.609037328,20,30,14,54.15651,79.94883,37.30946,3.3887937362,15.448188175,277,3159,26,899,18,80.155378118,615.15498014,16.22133105,,,11.5,"",146,48,394.1,153.8,21.4,15.385227694,5.4804849646,58.283204685,44.8,28.2,52.558922559,6.9,9.1,"No",12.558922559,9.8751733703,2.1212121212,1.2457912458,88.692225488,14972,27.9
"Crenshaw County, Alabama","Crenshaw County","01041","00","01","041",4.0315235877,5.1591410668,21.1,11.090225564,2,9,3,14.61881,68.79156,22.93052,4.8662584596,16.037614324,151,1245,,337,,,620.88338252,,,,12.5,"",85,26,617.2,225.9,22.2,15.435840979,13.506183464,24.215552524,40.4,30.7,64.269561284,6.4,9.1,"No",8.0889787664,6.9120654397,0.8897876643,0.3842264914,76.137878499,5251,46.3
"Cullman County, Alabama","Cullman County","01043","00","01","043",3.7818914618,5.0919439612,17.9,8.6176980914,48,137,43,56.79465,153.07947,48.04684,4.9171788728,17.556053812,944,8613,36,1654,49,48.023691688,529.26514962,19.465686761,37,5.3818181818,10.5,"",203,69,242.3,97.1,20.9,16.813692427,2.8437442709,48.497712426,38,28.9,43.010661702,7.5,9.4,"No",10.665377799,7.8560818617,1.9333011116,1.4016433059,85.008576329,37895,32.7
"Dale County, Alabama","Dale County","01045","00","01","045",3.8832354322,5.2428108042,20.4,8.4528465884,13,65,16,26.55283,131.73361,32.42674,3.5720680394,17.822488584,399,4996,28,873,13,62.248504924,502.73035262,8.8383065805,36,8.0609046126,12.9,"",298,129,606,316.3,20.5,16.068656479,8.7955021136,24.944248469,39.2,29.4,59.703481593,6.5,9.1,"No",11.938314278,10.327292399,1.5155543738,0.6115394842,80.683899858,19652,27.1
"Dallas County, Alabama","Dallas County","01047","00","01","047",4.4272459201,5.2708212208,27,14.00476758,29,27,12,80.33686,71.77224,31.89877,2.812815338,14.847073121,223,2932,17,934,,47.587056321,692.99700484,,22,6.5907729179,16.5,"",234,138,629.1,456.7,23.1,12.381135942,8.7671298024,56.466122407,47.5,34.6,83.618127786,5.8,9.5,"No",16.719044626,14.283875121,1.9170333124,1.2884978001,87.659076838,14537,31.6
"Dekalb County, Alabama","DeKalb County","01049","00","01","049",4.3458955784,5.5920437151,22.5,8.452173913,32,29,21,44.65656,40.38266,29.24262,5.6694463748,24.449205151,979,10043,42,1356,55,60.849282123,526.55804487,25.634333228,45,7.9086115993,12.4,"",176,68,246.1,113.9,23,15.890767909,,42.876494246,42.1,31.6,64.795535937,,7.5,"No",11.059907834,8.0995653892,2.9377880184,0.6144393241,82.652471172,29399,32.8
"Elmore County, Alabama","Elmore County","01051","00","01","051",3.533761803,5.4859884798,16.6,9.2632552404,19,23,12,23.12617,25.75473,13.43725,3.7235192391,13.67367881,689,6396,44,1345,26,60.588534997,460.5565871,10.60125421,46,7.1461861115,10.4,"",332,207,408.8,298.1,18.6,16.169297251,4.9842455945,51.982904623,37.1,24.9,46.367149026,7.8,10,"No",12.066644228,10.052819901,1.6156176372,0.5048805116,86.194429566,37340,46.8
"Escambia County, Alabama","Escambia County","01053","00","01","053",4.3754869746,5.4828613893,24.7,9.9676375405,12,29,15,33.07516,79.02123,40.87305,3.9672700223,18.742085268,320,3552,27,839,36,82.184275409,637.62145634,32.828144663,31,10.430686406,14.7,"",202,78,551.4,255.8,24.5,14.03475595,5.6765487704,38.645700139,43.6,33.6,65.876152833,6.6,9.3,"No",10.198624905,8.7797019734,1.7876241406,0.5729564553,90.83615197,12713,26.5
"Etowah County, Alabama","Etowah County","01055","00","01","055",3.7778499729,5.4085997596,19.1,9.341117598,78,137,52,76.19345,132.80084,50.40616,3.4703320631,17.515250656,765,10279,57,2329,67,64.882585286,596.4802289,21.814156411,62,7.6637824475,12.1,"",497,191,486,220,20.6,14.750635541,13.397919566,60.520515101,41.1,29.3,56.157635468,6.2,8.4,"No",10.439137134,9.1230829729,1.2968669748,0.5778120185,88.846810202,42777,28.1
"Fayette County, Alabama","Fayette County","01057","00","01","057",4.1516943298,5.7082961456,21.4,10.129659643,16,3,5,98.5161,18.57815,30.96359,4.0415704388,17.383136258,140,1573,,365,12,,581.25823555,24.501796798,,,12.1,"",65,14,398.7,101.4,23.7,15.794366275,0.4299896114,32.295815207,39.4,31.6,62.488521579,7.2,9,"Yes",11.544117647,9.9539444362,1.25,0.8088235294,85.910762834,6253,45.9
"Franklin County, Alabama","Franklin County","01059","00","01","059",4.1910774084,5.3713206941,22,9.7677595628,14,4,9,44.43457,12.49492,28.11358,5.1708690644,20.375706528,404,3677,19,585,12,61.290322581,533.81347157,12.734527549,,,12.2,"",117,22,373.1,85,22.6,15.91671607,5.7351046475,57.023635288,38.4,31.9,55.491897201,7.2,8.2,"No",9.8642533937,6.6020313943,3.4389140271,0.7692307692,83.191981496,12970,38.9
"Geneva County, Alabama","Geneva County","01061","00","01","061",4.2252407924,5.8821528502,22,8.1540770385,7,7,2,26.50411,26.21625,7.49036,3.8666437532,19.232060146,225,2865,17,601,15,73.583517292,592.90188009,18.988303205,,,12.8,"",111,43,422.5,191.7,23.9,16.409238246,3.8639910335,35.125098466,38,31.9,59.322903309,6.7,9,"No",11.747713048,10.196078431,1.6273471353,0.1925854598,86.547349789,10169,41.1
"Greene County, Alabama","Greene County","01063","00","01","063",4.8616566495,5.5766732995,31.7,15.789473684,4,1,,50.06258,13.10788,,3.9408866995,14.437726723,64,597,,210,,,656.61684084,,,,19.5,"",94,27,1158.9,399.7,26.6,11.006012781,22.756475345,4.489003881,49.1,40.7,84.575026233,4,9.3,"No",17.457627119,15.401069519,2.2033898305,1.4915254237,63.860167405,2031,42.1
"Hale County, Alabama","Hale County","01065","00","01","065",4.3697254503,5.3362477498,26,12.262773723,3,3,2,20.4499,20.33347,13.55565,4.0754257908,14.298223668,134,1143,14,340,,102.75229358,629.35351796,,,,15.8,"",162,66,1105.7,541.5,23.7,13.171772048,6.9764912571,27.710517416,47.3,36.1,69.330543933,6.2,9.4,"No",14.690265487,11.314596555,3.982300885,0.4424778761,91.427506523,5366,54
"Henry County, Alabama","Henry County","01067","00","01","067",3.8616481022,5.1757457233,20.1,10.604805302,5,6,5,29.03095,34.36623,28.63852,4.3844856661,14.785541153,156,1403,11,343,,77.898165852,482.3984751,,,,12,"",112,44,651,297.5,21,15.574339762,8.0481033695,18.464948093,42.1,29.2,56.229773463,7.2,9.1,"No",9.4268476621,8.7250384025,0.4826546003,0.2865761689,86.578234203,7011,36.6
"Houston County, Alabama","Houston County","01069","00","01","069",3.7070348301,5.2264239561,19.8,10.84727469,91,187,70,85.38187,174.02148,65.14173,3.9935971105,17.245279308,973,10521,81,1736,44,83.585293116,452.29730872,13.872074253,86,9.6499102334,11.6,"",813,369,767.8,413.5,20.5,14.661248175,4.242109128,75.132926625,39.1,32,65.50003514,7.3,8.1,"No",12.65581277,11.504470649,1.3482574409,0.3815822946,86.569767442,44720,24.9
"Jackson County, Alabama","Jackson County","01071","00","01","071",4.2286807996,5.8131241254,20.4,9.3071354705,27,28,16,52.34384,53.05743,30.31853,3.8660747318,15.746133762,418,4704,22,1226,12,51.098620337,589.8697805,7.7447335812,24,6.216006216,11.3,"",130,41,251.8,92.8,22.2,15.739810011,5.3704164542,37.836398562,40.1,28.6,55.263157895,6.9,8.6,"Yes",10.074897318,7.3684210526,2.5610050737,0.6040106306,85.275821295,19451,40.3
"Jefferson County, Alabama","Jefferson County","01073","00","01","073",3.3461302714,4.9984162512,17.3,11.416592894,749,1507,603,114.29147,225.65961,90.29379,3.140842998,12.61295339,4696,48016,505,11877,646,84.198662158,523.59565949,32.738449687,578,9.7164086271,12.1,"",5121,3740,777.6,683.3,16.1,15.100189186,12.586638604,80.029078686,38.9,24.8,54.192514041,6.7,10.7,"No",15.469126823,13.782345027,1.4240324618,1.0737664127,80.882498761,302550,34.8
"Lamar County, Alabama","Lamar County","01075","00","01","075",3.9907315107,5.4521315829,19.8,8.5146641438,,3,3,,21.91541,21.91541,4.5530632742,14.912974684,136,1131,,274,,,503.54882147,,,,11.4,"",26,21,188.3,179.9,22.2,16.544471967,0.416253749,8.839106785,39.2,28.7,56.280299691,7.3,8.9,"No",9.1374893254,5.6994818653,1.6908625107,1.878736123,89.212659205,5182,40.3
"Lauderdale County, Alabama","Lauderdale County","01077","00","01","077",3.6148032219,5.1703582113,17.1,9.6499380421,50,165,54,53.55154,175.45166,57.42054,3.7616884852,14.545184139,704,7824,32,1624,30,43.972956632,458.02305203,10.772611712,43,6.7408684747,10.6,"",455,97,490.7,120.5,19,16.910459565,6.4706819216,57.357530674,39.4,26.3,49.206728853,7.3,8,"No",12.087340785,10.221285564,1.2477255004,0.909799844,84.180462775,41316,32
"Lawrence County, Alabama","Lawrence County","01079","00","01","079",4.0921403305,5.552936384,20.8,8.5872576177,5,42,3,15.21746,126.92656,9.06618,5.4883081155,18.574079802,399,3603,19,759,,66.830812522,604.06345424,,,,12,"",88,23,267.3,82.5,22.8,16.258808085,5.3540348345,56.76231367,38.6,29.7,55.982996812,7,8.5,"No",10.414201183,8.7277147488,1.6962524655,0.5128205128,89.93780542,13506,51.9
"Lee County, Alabama","Lee County","01081","00","01","081",3.5585211675,4.9103954476,17.4,9.3084904946,87,197,58,52.14858,111.16252,32.72805,3.3051862999,13.008553647,1186,13733,90,1915,42,64.778959794,377.46145857,8.479469589,93,7.1226162212,11.4,"",583,335,354.3,236.2,16.7,16.583301214,11.069019519,59.814854139,36.8,24.7,40.839376511,6.8,10.1,"No",17.448327384,14.995273696,3.2207188512,0.6225616336,82.404546035,78310,26.8
"Limestone County, Alabama","Limestone County","01083","00","01","083",3.6799888064,4.946234783,17,8.9255968906,38,55,32,37.17181,51.1547,29.76274,4.3340471092,15.118087039,1012,9237,41,1429,15,46.663024674,401.10790245,5.0451201916,42,5.9439569771,10.3,"",306,118,309.4,136.5,18.5,17.051942132,6.4263673672,43.463358115,34.9,26.3,42.739850996,7.5,8.6,"No",10.732617825,8.512981904,2.1309690465,0.6688442993,86.319931036,45241,43.1
"Lowndes County, Alabama","Lowndes County","01085","00","01","085",4.5922509406,5.5227059345,27.9,14.709236032,1,,,10.37237,,,3.7332005973,14.545454545,75,776,11,267,,125.34184139,748.69756657,,,,17.6,"",91,48,935.6,593.3,24,11.959725955,20.204006563,0.9116477548,48.8,37.4,96.937953263,4.7,9.4,"No",18.235294118,15.841346154,1.9764705882,1.4117647059,83.718985224,3587,58.4
"Macon County, Alabama","Macon County","01087","00","01","087",4.2300649276,5.2529927793,25.5,13.401253918,6,78,5,33.52892,412.80762,26.46203,3.1367200818,16.284153005,92,1490,,476,,,700.8165041,,,,17.1,"",143,105,791.5,671.1,21.3,12.567633866,22.099887023,40.441327053,47.3,35.3,97.113842865,5.3,9.7,"No",15.919732441,14.262068966,1.3110367893,1.2040133779,81.522645179,7198,40.5
"Madison County, Alabama","Madison County","01089","00","01","089",3.1234600675,4.7910511463,14.9,10.138496706,330,675,204,86.96729,170.79484,51.618,3.117259925,12.379097696,2643,28605,176,5088,225,54.644978406,395.94738383,20.109377137,213,7.3256293851,10.6,"",2520,834,675.8,259.9,15.7,16.447558772,9.3429073813,73.530798422,35.3,22.5,34.35163056,7.4,7.4,"No",11.289560699,9.8048597109,1.3293744517,0.4993589311,82.969216293,185975,27
"Marengo County, Alabama","Marengo County","01091","00","01","091",4.1214265876,5.3108789258,23.1,11.97053407,7,6,5,37.36721,31.5856,26.32133,3.6457058967,13.887554061,149,1445,15,457,,87.494167056,674.5989168,,,,14.5,"",107,28,567.2,177.4,21,13.459181721,13.247225464,47.570253066,43.5,31.8,66.917084029,6,9.4,"Yes",12.839673913,12.549306063,0.3940217391,0.8831521739,84.372800225,7103,34.9
"Marion County, Alabama","Marion County","01093","00","01","093",4.0896314101,5.5356620634,20.3,9.4736842105,8,7,5,26.93331,23.9349,17.09636,3.6096470212,15.53164633,226,2584,20,710,,80.896331351,606.666792,,21,10.019083969,11.5,"",60,38,202,149.6,22.9,16.444474238,1.0310084298,47.663678811,37.9,29.6,50.761085374,7.1,8.6,"No",10.879533139,8.8597972973,1.7507294706,0.9170487703,86.749335695,11290,30.5
"Marshall County, Alabama","Marshall County","01095","00","01","095",3.7962423875,5.2088137575,19.3,8.1613797351,56,273,35,57.73791,277.92483,35.63139,4.1178861789,20.072886297,1013,11016,50,1855,54,51.824212272,536.99681607,18.628847806,51,5.593331871,11.1,"",291,124,300.7,156,21,15.360423115,10.031421286,52.815227636,39.7,29.9,45.107505754,6.7,9.1,"No",12.125555396,10.279689559,1.8202665902,0.8026372366,84.675820176,39839,34
"Mobile County, Alabama","Mobile County","01097","00","01","097",3.8429873786,5.2022501187,19.8,11.917634581,292,470,212,70.75083,113.78134,51.32265,2.7978235669,15.604654181,2679,37270,265,7719,204,68.556763707,529.88331187,16.455819754,327,8.6000578597,13,"",3022,1938,731.3,564.3,20.4,16.700532874,9.7158344493,63.904110084,39.4,27.8,67.903778878,6.6,8.3,"No",15.1264,13.516186457,1.9616,0.656,85.183691576,173579,36.5
"Monroe County, Alabama","Monroe County","01099","00","01","099",4.2299200941,5.2514146699,24.1,11.718235681,8,22,5,39.1026,111.97068,25.44788,3.8488952245,16.726226793,162,1919,13,458,,72.964023124,597.90291557,,,,14.2,"",125,34,602.9,193.7,23.3,14.109314771,11.329650773,41.371636658,43.9,32.1,70.843908629,6,9.3,"No",12.798530312,13.4375,0.4776484997,0.3674219228,91.236306729,6390,27.9
"Montgomery County, Alabama","Montgomery County","01101","00","01","101",3.7303364783,5.1871623418,20.3,12.964301853,235,425,180,104.61229,186.8674,79.14384,3.1469689003,15.769270671,1616,19760,173,3676,59,81.69433098,484.67496419,8.7163607569,208,9.7863931495,14.6,"",2093,1532,924.1,823,17.2,13.62352832,10.744317962,69.295142256,49,31,69.780781276,6.5,9,"No",16.877967048,15.161363896,2.0217816252,0.8712650098,83.098163549,98723,20.6
"Morgan County, Alabama","Morgan County","01103","00","01","103",3.6809696394,5.1260031514,18.6,8.8023232526,62,198,64,51.71709,160.10609,51.75146,5.2542859192,18.429865893,1465,12712,65,2250,63,59.634121727,517.55747544,17.565823042,60,6.2098944318,11.4,"",412,145,344.3,144.3,20.7,16.917721605,8.2711687673,70.621693229,40.1,28,50.5799294,7.1,7.6,"No",11.890243902,9.4842850819,2.3301393728,0.5988675958,87.599660729,53055,33.2
"Perry County, Alabama","Perry County","01105","00","01","105",5.1012196299,5.7317189698,32.1,14.194373402,3,5,2,34.53436,59.8444,23.93776,3.983353151,15.444905486,67,670,,222,,,731.26850982,,,,19.3,"",45,21,504.3,282,27.3,11.450529733,27.847074248,54.964164023,50.9,41.2,90.633130963,3.4,9.4,"No",18.892508143,16.723549488,0,3.7459283388,79.290718039,2284,46.5
"Pickens County, Alabama","Pickens County","01107","00","01","107",4.2899936948,5.3127817231,24.1,13.418745786,7,7,4,35.36604,37.23206,21.27546,4.3956043956,15.395189003,164,1568,12,408,14,76.859027733,532.01673352,23.465915757,21,14.141414141,14.7,"",73,55,366.3,321.5,23.4,14.187848266,1.4966823388,4.0840872248,42.3,33.5,70.219039596,6.9,9.3,"No",9.8231827112,8.6939048895,1.3752455796,0.3929273084,85.360763268,6708,60.1
"Pike County, Alabama","Pike County","01109","00","01","109",3.8401753299,5.3849243277,20.4,10.55257099,14,25,11,42.468,75.77824,33.34243,3.7980769231,15.154935358,237,2954,15,605,,59.23234876,589.90678237,,,,13.3,"",290,114,875.8,401.4,20,15.171373612,10.493584998,61.295404284,38.7,29.9,70.121793211,6.7,9.2,"No",15.862068966,15.5261959,1.2413793103,0.3448275862,83.912248629,13128,24
"Randolph County, Alabama","Randolph County","01111","00","01","111",3.903252391,5.2556281987,19.8,8.9147286822,5,7,3,21.81501,31.8341,13.64319,4.0158135664,16.194614728,193,2087,17,486,,87.850757067,543.18099931,,,,11.6,"",86,16,378.5,82.1,21.1,15.616996376,13.183328225,40.975099012,42.8,29.7,59.355390759,6.4,9.5,"No",12.126436782,9.0318772137,2.9310344828,1.6666666667,85.695219607,8242,43.6
"Russell County, Alabama","Russell County","01113","00","01","113",3.9928465591,5.5507228919,22.2,10.852048688,12,31,15,20.60546,52.79112,25.54409,3.1780902168,15.460030166,434,5330,43,1118,43,76.921700864,565.82780599,24.715626599,57,10.007022472,14.2,"",372,201,641.8,418.9,21.5,14.118539443,6.6652776462,56.095500397,41.9,32.9,63.934593766,6.7,9.5,"No",17.691315563,15.308370044,2.3000859845,1.3757523646,84.476869228,23713,35.5
